Name,ABN,Total income $,Taxable income $,Tax payable $,Income year
BANK OF CHINA LIMITED,29002979955,1315279889,280665835,84002560,2020-21
BANK OF COMMUNICATIONS CO LTD,74137909963,667799427,58113412,17434024,2020-21
BANK OF QUEENSLAND LIMITED,32009656740,1829811534,378869321,112917023,2020-21
BANPU AUSTRALIA CO. PTY LTD,56136468007,1042021790,0,0,2020-21
BAOSTEEL AUSTRALIA MINING COMPANY PTY LTD,93100513844,169307565,0,0,2020-21
BAPCOR LIMITED,80153199912,1708669764,160183168,48054950,2020-21
BAPSH PTY LTD,54605702618,501437947,0,0,2020-21
BARALABA COAL COMPANY PTY LTD,42096909634,167302403,0,0,2020-21
BAROB PTY LTD,38001024915,262077861,108749564,32519478,2020-21
BARRICK (AUSTRALIA PACIFIC HOLDINGS) PTY LTD,68085702558,249287032,30357521,3813143,2020-21
BARTO INDUSTRY CO PTY LTD,84616407777,209736238,0,0,2020-21
BARTTER HOLDINGS PTY LIMITED,84104671561,2384921545,125721424,37716427,2020-21
BASF AUSTRALIA LTD,62008437867,570687847,11015624,0,2020-21
BASW PTY LTD,63601452199,175961646,10641558,3192467,2020-21
BAXTER HEALTHCARE PTY LTD,43000392781,862699065,62823237,18846971,2020-21
BAY AUDIO PTY LTD,50122385746,104163951,27492147,8247644,2020-21
BAYER AUSTRALIA LIMITED,22000138714,1367741124,120853368,31627374,2020-21
BBC STUDIOS AUSTRALIA HOLDINGS PTY LTD,85127624104,120094395,20578513,5563643,2020-21
BBMG INVESTMENTS PTY LTD,98624128749,220015010,9970850,2991255,2020-21
BBPHA 1 PTY LTD,15144078151,3676853352,69014410,20704323,2020-21
BBQSAM HOLDINGS PTY LTD,41159613706,705053672,63449980,19034994,2020-21
BCI MINERALS LIMITED,21120646924,162538542,4946480,0,2020-21
BDD FOODS PTY LTD,49002400339,177686341,0,0,2020-21
